type,center_x,center_y,radius
Bok Choy,1146,530,16.5
Bok Choy,200,608,21.5
Bok Choy,1103,974,23.5
Bok Choy,615,576,24.5
Bok Choy,1108,773,24.5
Bok Choy,722,62,25.5
Bok Choy,209,565,26.5
Bok Choy,233,956,26.5
Bok Choy,529,431,26.5
Bok Choy,772,157,26.5
Bok Choy,1132,754,26.5
Bok Choy,1279,450,26.5
Bok Choy,1231,469,27.5
Bok Choy,1345,699,27.5
Bok Choy,77,68,28.5
Bok Choy,167,937,28.5
Bok Choy,955,213,28.5
Bok Choy,285,952,29.5
Bok Choy,401,584,29.5
Bok Choy,355,567,30.5
Bok Choy,410,511,30.5
Bok Choy,448,867,30.5
Bok Choy,1288,186,30.5
Bok Choy,226,49,31.5
Bok Choy,410,88,31.5
Bok Choy,1191,514,31.5
Bok Choy,561,684,32.5
Bok Choy,810,405,32.5
Bok Choy,182,675,33.5
Bok Choy,283,686,33.5
Bok Choy,844,1005,33.5
Bok Choy,984,517,33.5
Bok Choy,716,232,34.5
Bok Choy,902,435,34.5
Bok Choy,909,327,34.5
Bok Choy,65,611,35.5
Bok Choy,876,568,35.5
Bok Choy,547,800,36.5
Bok Choy,588,400,36.5
Bok Choy,877,89,36.5
Bok Choy,1010,360,36.5
Bok Choy,578,904,37.5
Bok Choy,905,625,37.5
Bok Choy,115,50,38.5
Bok Choy,186,288,38.5
Bok Choy,1402,937,38.5
Bok Choy,156,350,39.5
Bok Choy,566,337,39.5
Bok Choy,760,966,39.5
Bok Choy,1028,578,39.5
Bok Choy,664,129,42.5
Bok Choy,932,584,42.5
Bok Choy,1023,216,45.5
Bok Choy,1110,576,45.5
Bok Choy,915,498,51.5
Bok Choy,101,419,52.5
Bok Choy,214,109,52.5
Calendula,683,1059,20.5
Calendula,970,907,20.5
Calendula,1024,878,20.5
Calendula,881,1030,21.5
Calendula,1088,185,21.5
Calendula,1619,387,21.5
Calendula,1136,178,22.5
Calendula,659,25,24.5
Calendula,759,71,26.5
Calendula,1124,266,26.5
Calendula,91,840,28.5
Calendula,426,976,28.5
Calendula,495,975,29.5
Calendula,1301,1004,30.5
Calendula,1743,228,30.5
Calendula,467,278,33.5
Calendula,728,562,33.5
Calendula,448,1017,34.5
Calendula,1190,92,35.5
Calendula,1252,1016,36.5
Calendula,97,796,37.5
Calendula,1100,487,37.5
Calendula,1127,65,41.5
Comfrey/Borage,621,315,30.5
Comfrey/Borage,339,325,35.5
Comfrey/Borage,601,273,36.5
Comfrey/Borage,287,333,39.5
Comfrey/Borage,343,376,41.5
Comfrey/Borage,481,83,45.5
Dill,1371,134,12.5
Dill,667,480,16.5
Dill,1259,152,16.5
Dill,870,642,17.5
Dill,922,674,17.5
Dill,1118,230,17.5
Dill,1159,803,17.5
Dill,1596,658,17.5
Dill,522,514,18.5
Dill,698,730,18.5
Dill,1018,692,18.5
Dill,1226,502,18.5
Dill,810,279,19.5
Dill,915,952,19.5
Dill,1540,763,20.5
Dill,1609,105,21.5
Dill,1796,200,21.5
Dill,684,565,22.5
Dill,1161,732,22.5
Dill,1452,476,22.5
Dill,1514,631,22.5
Dill,466,579,23.5
Dill,1192,644,23.5
Dill,1400,1057,23.5
Dill,1702,288,23.5
Dill,329,532,24.5
Dill,1315,633,24.5
Dill,1602,598,24.5
Dill,153,894,25.5
Dill,617,462,25.5
Dill,944,892,25.5
Dill,1551,980,25.5
Dill,1758,942,25.5
Dill,1760,906,25.5
Dill,1175,200,26.5
Dill,1611,263,26.5
Dill,1014,966,28.5
Dill,1131,1018,28.5
Dill,1065,739,29.5
Dill,1389,183,29.5
Dill,286,557,30.5
Dill,731,876,30.5
Dill,1376,845,31.5
Dill,935,347,33.5
Dill,1000,289,33.5
Dill,370,865,35.5
Dill,369,1021,37.5
Dill,1096,1043,43.5
Marigold,209,312,12.5
Marigold,225,235,13.5
Marigold,865,802,13.5
Marigold,1227,797,14.5
Marigold,543,293,15.5
Marigold,507,731,17.5
Marigold,1185,587,17.5
Marigold,60,490,18.5
Marigold,1079,535,19.5
Marigold,1680,719,19.5
Marigold,813,592,20.5
Marigold,1025,755,21.5
Marigold,476,20,23.5
Marigold,1327,672,25.5
Marigold,1565,28,25.5
Marigold,1416,348,26.5
Marigold,1294,222,33.5
Nasturtium,319,814,39.5
Nasturtium,1200,284,48.5
Nasturtium,1525,287,48.5
Nasturtium,306,851,51.5
Nasturtium,1504,220,52.5
Nasturtium,258,1035,57.5
Nasturtium,734,467,60.5
Nasturtium,407,799,61.5
Nasturtium,1846,791,69.5
Nasturtium,834,690,70.5
Nasturtium,1174,878,71.5
Nasturtium,1816,470,74.5
Nasturtium,1020,102,88.5
Radish,1124,442,38.5
Radish,942,120,43.5
Radish,435,722,44.5
Radish,1055,303,48.5
Radish,669,794,53.5
Radish,1367,740,53.5
Radish,1045,1036,54.5
Radish,1392,66,55.5
Radish,1439,21,55.5
Radish,801,476,57.5
Radish,1500,490,57.5
Radish,1621,712,58.5
Radish,1813,1004,58.5
Radish,421,315,63.5
Radish,342,478,64.5
Radish,1560,388,67.5
Radish,1476,549,68.5
Radish,1690,864,74.5
Radish,1623,61,75.5
Radish,1606,871,76.5
Radish,1298,935,79.5
Radish,1450,219,79.5
Radish,1180,395,84.5
Unknown,1199,735,13.5
Unknown,1214,741,13.5
Unknown,609,610,16.5
Unknown,765,904,17.5
Unknown,1301,732,17.5
Unknown,1901,231,17.5
Unknown,1289,840,18.5
Unknown,261,162,19.5
Unknown,332,128,19.5
Unknown,975,953,19.5
Unknown,1326,873,19.5
Unknown,493,227,20.5
Unknown,785,1032,20.5
Unknown,217,469,21.5
Unknown,524,281,21.5
Unknown,870,385,21.5
Unknown,1104,630,21.5
Unknown,1790,50,21.5
